Year, NodeId, IP_Key:Accessibility, HasIntervention:Delayed_Intervention_Test_On_ANC, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters
1995.5,4,No,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,4,No,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,0,0,0,143,61,73,0,27,26,29,29,23,36,7,0
1995.5,3,Yes,0,0,10,116,56,56,0,13,13,10,10,10,17,0,1
1995.5,3,Yes,0,0,20,83,43,49,0,0,0,3,3,2,4,1,1
1995.5,3,Yes,0,0,30,58,35,35,0,0,0,6,6,4,5,2,1
1995.5,3,Yes,0,0,40,61,34,25,0,0,0,3,3,3,3,1,0
1995.5,3,Yes,0,0,50,36,17,24,0,1,1,1,1,1,2,0,0
1995.5,3,Yes,0,0,60,18,12,10,0,0,0,1,1,1,0,0,0
1995.5,3,Yes,0,0,70,17,11,7,0,0,0,1,1,1,1,0,0
1995.5,3,Yes,0,0,80,2,1,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,0,1,20,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,3,Yes,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,0,1,40,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,3,Yes,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,0,1,60,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,3,Yes,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0
