Time,Coordinator_Name,Event_Name
20,Coordnator_1,Start_Sampling_a1
21,Frequency_Counter,Release_More_Mosquitoes_a1a1
21,Frequency_Counter,Considered_Responding_a1
22,MosquitoRelease,DoneReleasing_a1a1
41,Frequency_Counter,Release_More_Mosquitoes_a1a1
41,Frequency_Counter,Considered_Responding_a1
42,MosquitoRelease,DoneReleasing_a1a1
50,Coordnator_2,Stop_Sampling_a1
60,Coordnator_3,Start_Sampling_a0a0
61,Fraction_Counter,Release_More_Mosquitoes_a0a0
61,Fraction_Counter,Considered_Responding_a0a0
62,MosquitoRelease,DoneReleasing_a0a0
71,Fraction_Counter,Release_More_Mosquitoes_a0a0
71,Fraction_Counter,Considered_Responding_a0a0
72,MosquitoRelease,DoneReleasing_a0a0
81,Fraction_Counter,Considered_Responding_a0a0
90,Coordnator_4,Stop_Sampling_a0a0
