Int,Tgt,B,K
IRS,100,1,0
IRS,300,1,0
IRS,500,1,0
IRS,700,1,0
IRS,900,1,0
IRS,1000,0.9,0
IRS,1000,0.7,0
IRS,1000,0.5,0
IRS,1000,0.3,0
IRS,1000,0.1,0
IRS,100,0,1
IRS,300,0,1
IRS,500,0,1
IRS,700,0,1
IRS,900,0,1
IRS,1000,0,0.9
IRS,1000,0,0.7
IRS,1000,0,0.5
IRS,1000,0,0.3
IRS,1000,0,0.1
