,Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Currently (TRANSITORY),Currently (INFORMAL),Currently (MARITAL),Currently (COMMERCIAL),Ever (TRANSITORY),Ever (INFORMAL),Ever (MARITAL),Ever (COMMERCIAL),Considering (TRANSITORY),Considering (INFORMAL),Considering (MARITAL),Considering (COMMERCIAL),Available for Relationship (TRANSITORY),Available for Relationship (INFORMAL),Available for Relationship (MARITAL),Available for Relationship (COMMERCIAL),Has Concurrent Partners,Current Partners,Lifetime Partners,Has Debuted,Had First Coital Act,Ratio - Has Debuted,Ratio - First Coital Act,Target,Ratio - Considering (TRANSITORY),Ratio - Available for Relationship (TRANSITORY),In queue no partner
0,1960.5,1,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0
1,1960.5,1,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0
2,1960.5,1,0,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.6428571428571429,0.0,0.665211063,0.0,0.0,0
3,1960.5,1,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.9375,0.0,0.955583756,0.0,0.0,0
4,1960.5,1,0,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1.0,0.0,1.0,0.0,0.0,0
5,1960.5,1,0,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1.0,0.0,1.0,0.0,0.0,0
6,1960.5,1,0,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1.0,0.0,1.0,0.0,0.0,0
7,1960.5,1,0,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1.0,0.0,1.0,0.0,0.0,0
8,1960.5,1,0,45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1.0,0.0,1.0,0.0,0.0,0
9,1960.5,1,0,50,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1.0,0.0,1.0,0.0,0.0,0
10,1960.5,1,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0
11,1960.5,1,1,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0
12,1960.5,1,1,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.782608695652174,0.0,0.768916155,0.0,0.0,0
13,1960.5,1,1,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1.0,0.0,0.988976378,0.0,0.0,0
14,1960.5,1,1,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1.0,0.0,1.0,0.0,0.0,0
15,1960.5,1,1,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1.0,0.0,1.0,0.0,0.0,0
16,1960.5,1,1,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1.0,0.0,1.0,0.0,0.0,0
17,1960.5,1,1,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1.0,0.0,1.0,0.0,0.0,0
18,1960.5,1,1,45,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1.0,0.0,1.0,0.0,0.0,0
19,1960.5,1,1,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1.0,0.0,1.0,0.0,0.0,0
20,1960.58,1,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0
21,1960.58,1,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0
22,1960.58,1,0,15,29,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,3,0,0,10,0,0,0,11,14,16,0,0,8,8,19,8,0.6551724137931034,0.27586206896551724,0.665211063,0.3448275862068966,0.3793103448275862,1
23,1960.58,1,0,20,16,0,0,0,0,0,0,0,0,0,0,3,10,0,0,3,10,0,0,2,0,0,0,15,4,13,0,0,13,13,15,13,0.9375,0.8125,0.955583756,0.125,0.9375,13
24,1960.58,1,0,25,16,0,0,0,0,0,0,0,0,0,0,2,11,0,0,2,11,0,0,1,2,0,0,15,2,15,0,0,13,13,16,13,1.0,0.8125,1.0,0.0625,0.9375,14
25,1960.58,1,0,30,20,0,0,0,1,0,0,0,0,0,0,3,9,0,0,3,10,0,0,1,6,0,0,19,5,19,0,0,12,13,20,13,1.0,0.65,1.0,0.05,0.95,18
26,1960.58,1,0,35,13,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,0,0,1,2,0,0,7,6,12,0,0,10,10,13,10,1.0,0.7692307692307693,1.0,0.07692307692307693,0.5384615384615384,6
27,1960.58,1,0,40,7,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,0,0,1,0,0,0,4,5,6,0,0,7,7,7,7,1.0,1.0,1.0,0.14285714285714285,0.5714285714285714,3
28,1960.58,1,0,45,10,0,0,0,0,0,0,0,0,0,0,6,0,1,0,6,0,1,0,3,0,0,0,0,9,9,0,0,7,7,10,7,1.0,0.7,1.0,0.3,0.0,-3
29,1960.58,1,0,50,37,0,0,0,1,0,0,0,0,0,0,12,17,5,0,12,17,6,0,2,0,0,0,34,22,26,0,0,34,35,37,35,1.0,0.9459459459459459,1.0,0.05405405405405406,0.918918918918919,32
30,1960.58,1,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0
31,1960.58,1,1,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0
32,1960.58,1,1,15,24,0,0,0,0,0,0,0,0,0,0,4,12,0,0,4,12,0,0,0,2,0,0,17,2,17,0,0,16,16,18,16,0.75,0.6666666666666666,0.768916155,0.0,0.7083333333333334,17
33,1960.58,1,1,20,16,0,0,0,0,0,0,0,0,0,0,6,9,0,0,6,10,0,0,0,0,0,0,16,6,15,0,0,15,16,16,16,1.0,1.0,0.988976378,0.0,1.0,16
34,1960.58,1,1,25,21,0,0,0,0,0,0,0,0,0,0,8,13,0,0,8,13,0,0,0,0,0,0,19,6,21,0,0,21,21,21,21,1.0,1.0,1.0,0.0,0.9047619047619048,19
35,1960.58,1,1,30,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,4,0,0,0,0,0,0,5,1,6,0,0,7,7,7,7,1.0,1.0,1.0,0.0,0.7142857142857143,5
36,1960.58,1,1,35,14,0,0,0,0,0,0,0,0,0,0,9,5,0,0,9,5,0,0,0,0,0,0,7,9,11,0,0,14,14,14,14,1.0,1.0,1.0,0.0,0.5,7
37,1960.58,1,1,40,13,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,0,0,0,3,0,0,7,5,11,0,0,10,10,13,10,1.0,0.7692307692307693,1.0,0.0,0.5384615384615384,7
38,1960.58,1,1,45,11,0,0,0,0,0,0,0,0,0,0,4,6,0,0,4,6,0,0,0,1,0,0,9,3,9,0,0,10,10,11,10,1.0,0.9090909090909091,1.0,0.0,0.8181818181818182,9
39,1960.58,1,1,50,30,0,0,0,0,0,0,0,0,0,0,2,3,6,0,2,3,7,0,1,3,14,0,30,24,8,0,0,11,12,30,12,1.0,0.4,1.0,0.03333333333333333,1.0,29
40,1960.66,1,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0
41,1960.66,1,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0
42,1960.66,1,0,15,29,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,3,0,0,11,0,0,0,10,12,12,0,0,8,8,20,8,0.6896551724137931,0.27586206896551724,0.665211063,0.3793103448275862,0.3448275862068966,-1
43,1960.66,1,0,20,16,0,0,0,0,0,0,0,0,0,0,3,10,0,0,3,10,0,0,2,0,0,0,6,4,4,0,0,13,13,15,13,0.9375,0.8125,0.955583756,0.125,0.375,4
44,1960.66,1,0,25,16,0,0,0,0,0,0,0,0,0,0,2,11,0,0,2,11,0,0,1,2,0,0,3,2,3,0,0,13,13,16,13,1.0,0.8125,1.0,0.0625,0.1875,2
