Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Currently (TRANSITORY),Currently (INFORMAL),Currently (MARITAL),Currently (COMMERCIAL),Ever (TRANSITORY),Ever (INFORMAL),Ever (MARITAL),Ever (COMMERCIAL),Considering (TRANSITORY),Considering (INFORMAL),Considering (MARITAL),Considering (COMMERCIAL),Available for Relationship (TRANSITORY),Available for Relationship (INFORMAL),Available for Relationship (MARITAL),Available for Relationship (COMMERCIAL),Has Concurrent Partners,Current Partners,Lifetime Partners,Has Debuted,Had First Coital Act
1960.5,1,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
1960.5,1,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
1960.5,1,0,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
1960.5,1,0,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1960.5,1,0,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
1960.5,1,0,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1960.5,1,0,45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1960.5,1,0,50,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
1960.5,1,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
1960.5,1,1,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
1960.5,1,1,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1960.5,1,1,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
1960.5,1,1,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
1960.5,1,1,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
1960.5,1,1,45,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
1960.5,1,1,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
1960.58,1,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,0,15,29,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,3,0,0,10,0,0,0,11,14,16,0,0,8,8,19,8
1960.58,1,0,20,16,0,0,0,0,0,0,0,0,0,0,3,10,0,0,3,10,0,0,2,0,0,0,15,4,13,0,0,13,13,15,13
1960.58,1,0,25,16,0,0,0,0,0,0,0,0,0,0,2,11,0,0,2,11,0,0,1,2,0,0,15,2,15,0,0,13,13,16,13
1960.58,1,0,30,20,0,0,0,1,0,0,0,0,0,0,3,9,0,0,3,10,0,0,1,6,0,0,19,5,19,0,0,12,13,20,13
1960.58,1,0,35,13,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,0,0,1,2,0,0,7,6,12,0,0,10,10,13,10
1960.58,1,0,40,7,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,0,0,1,0,0,0,4,5,6,0,0,7,7,7,7
1960.58,1,0,45,10,0,0,0,0,0,0,0,0,0,0,6,0,1,0,6,0,1,0,3,0,0,0,0,9,9,0,0,7,7,10,7
1960.58,1,0,50,37,0,0,0,1,0,0,0,0,0,0,12,17,5,0,12,17,6,0,2,0,0,0,34,22,26,0,0,34,35,37,35
1960.58,1,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,1,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,1,15,24,0,0,0,0,0,0,0,0,0,0,4,12,0,0,4,12,0,0,0,2,0,0,17,2,17,0,0,16,16,18,16
1960.58,1,1,20,16,0,0,0,0,0,0,0,0,0,0,6,9,0,0,6,10,0,0,0,0,0,0,16,6,15,0,0,15,16,16,16
1960.58,1,1,25,21,0,0,0,0,0,0,0,0,0,0,8,13,0,0,8,13,0,0,0,0,0,0,19,6,21,0,0,21,21,21,21
1960.58,1,1,30,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,4,0,0,0,0,0,0,5,1,6,0,0,7,7,7,7
1960.58,1,1,35,14,0,0,0,0,0,0,0,0,0,0,9,5,0,0,9,5,0,0,0,0,0,0,7,9,11,0,0,14,14,14,14
1960.58,1,1,40,13,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,0,0,0,3,0,0,7,5,11,0,0,10,10,13,10
1960.58,1,1,45,11,0,0,0,0,0,0,0,0,0,0,4,6,0,0,4,6,0,0,0,1,0,0,9,3,9,0,0,10,10,11,10
1960.58,1,1,50,30,0,0,0,0,0,0,0,0,0,0,2,3,6,0,2,3,7,0,1,3,14,0,30,24,8,0,0,11,12,30,12
1960.66,1,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,0,15,29,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,3,0,0,11,0,0,0,10,12,12,0,0,8,8,20,8
1960.66,1,0,20,16,0,0,0,0,0,0,0,0,0,0,3,10,0,0,3,10,0,0,2,0,0,0,6,4,4,0,0,13,13,15,13
1960.66,1,0,25,16,0,0,0,0,0,0,0,0,0,0,2,11,0,0,2,11,0,0,1,2,0,0,3,2,3,0,0,13,13,16,13
1960.66,1,0,30,18,0,0,0,0,0,0,0,0,0,0,2,9,0,0,3,9,0,0,1,5,0,0,6,5,6,0,0,11,12,18,12
1960.66,1,0,35,14,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,0,0,1,1,0,0,2,1,2,0,0,12,12,14,12
1960.66,1,0,40,7,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,0,0,1,0,0,0,3,4,4,0,0,7,7,7,7
1960.66,1,0,45,10,0,0,0,0,0,0,0,0,0,0,4,0,1,0,6,0,1,0,3,0,0,0,2,3,3,0,0,5,7,10,7
1960.66,1,0,50,36,0,0,0,1,0,0,0,0,0,0,12,18,5,0,12,18,5,0,1,0,0,0,19,16,16,0,1,35,35,36,34
1960.66,1,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,1,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,1,15,23,0,0,0,0,0,0,0,0,0,0,3,12,0,0,3,12,0,0,0,2,0,0,5,1,5,0,0,15,15,17,15
1960.66,1,1,20,17,0,0,0,0,0,0,0,0,0,0,7,9,0,0,7,10,0,0,0,0,0,0,9,8,8,0,0,16,17,17,17
1960.66,1,1,25,20,0,0,0,0,0,0,0,0,0,0,7,12,0,0,8,12,0,0,0,0,0,0,8,6,8,0,0,19,20,20,20
1960.66,1,1,30,8,0,0,0,0,0,0,0,0,0,0,2,5,0,0,3,5,0,0,1,1,0,0,2,0,3,0,0,7,8,8,8
1960.66,1,1,35,13,0,0,0,0,0,0,0,0,0,0,8,5,0,0,8,5,0,0,0,0,0,0,5,3,5,0,0,13,13,13,13
1960.66,1,1,40,14,0,0,0,0,0,0,0,0,0,0,6,6,0,0,7,6,0,0,0,1,0,0,2,2,2,0,0,12,13,14,13
1960.66,1,1,45,11,0,0,0,0,0,0,0,0,0,0,4,6,0,0,4,6,0,0,0,1,0,0,4,3,4,0,0,10,10,11,10
1960.66,1,1,50,30,0,0,0,0,0,0,0,0,0,0,2,4,6,0,2,4,7,0,1,2,14,0,5,4,4,0,0,12,13,30,13
1960.75,1,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,0,15,29,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,3,0,0,13,0,0,0,10,12,12,0,0,8,8,20,8
1960.75,1,0,20,16,0,0,0,0,0,0,0,0,0,0,3,9,0,0,3,10,0,0,2,1,0,0,5,3,3,0,0,12,13,15,13
1960.75,1,0,25,16,0,0,0,1,0,0,0,0,0,0,2,11,0,0,2,12,0,0,1,2,0,0,3,1,3,0,0,13,14,16,14
1960.75,1,0,30,17,0,0,0,0,0,0,0,0,0,0,3,10,0,0,3,11,0,0,0,3,0,0,6,5,7,0,0,13,14,17,14
1960.75,1,0,35,15,0,0,0,0,0,0,0,0,0,0,5,7,0,0,7,7,0,0,2,0,0,0,4,2,3,0,0,12,14,15,14
1960.75,1,0,40,7,0,0,0,0,0,0,0,0,0,0,4,2,0,0,5,2,0,0,1,0,0,0,3,4,4,0,0,6,7,7,7
1960.75,1,0,45,10,0,0,0,0,0,0,0,0,0,0,5,0,1,0,7,0,1,0,2,0,0,0,2,3,3,0,0,6,8,10,8
1960.75,1,0,50,35,0,0,0,0,0,0,0,0,0,0,11,18,5,0,12,18,5,0,2,0,0,0,17,15,15,0,1,34,35,35,34
1960.75,1,1,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,1,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
