Time, NodeID, NumIndividuals, NumInfected, NodeProp=InterventionStatus, NodeProp=Place, NodeProp=Risk
1,86,860,49,SPRAYED_A,RURAL,LOW
1,85,850,61,SPRAYED_A,RURAL,LOW
1,84,840,50,NONE,RURAL,MED
1,83,830,33,NONE,RURAL,LOW
1,82,820,42,FENCE_AND_TRAP,URBAN,LOW
1,81,810,43,SPRAYED_A,RURAL,LOW
1,80,800,43,SPRAYED_B,RURAL,LOW
1,79,790,47,NONE,RURAL,MED
1,78,780,44,SPRAYED_B,URBAN,HIGH
1,77,770,48,NONE,RURAL,HIGH
1,76,760,43,NONE,RURAL,LOW
1,75,750,34,NONE,URBAN,LOW
1,74,740,43,NONE,RURAL,LOW
1,73,730,30,NONE,URBAN,LOW
1,72,720,43,NONE,RURAL,LOW
1,71,710,31,NONE,RURAL,MED
1,70,700,35,NONE,URBAN,LOW
1,69,690,26,NONE,URBAN,LOW
1,68,680,50,NONE,URBAN,LOW
1,67,670,33,NONE,RURAL,LOW
1,66,660,33,SPRAYED_B,RURAL,LOW
1,65,650,29,SPRAYED_B,RURAL,LOW
1,64,640,31,NONE,URBAN,LOW
1,63,630,34,SPRAYED_B,RURAL,HIGH
1,62,620,27,SPRAYED_B,URBAN,MED
1,61,610,32,NONE,URBAN,HIGH
1,60,600,27,SPRAYED_A,RURAL,LOW
1,59,590,39,SPRAYED_A,RURAL,LOW
1,58,580,21,FENCE_AND_TRAP,RURAL,LOW
1,57,570,24,SPRAYED_B,URBAN,LOW
1,56,560,34,SPRAYED_B,RURAL,LOW
1,55,550,22,NONE,RURAL,LOW
1,54,540,29,SPRAYED_B,RURAL,HIGH
1,53,530,30,NONE,URBAN,LOW
1,52,520,22,SPRAYED_B,URBAN,LOW
1,51,510,35,NONE,RURAL,HIGH
1,50,500,19,NONE,RURAL,LOW
1,49,490,27,SPRAYED_B,RURAL,MED
1,48,480,18,SPRAYED_A,RURAL,LOW
1,47,470,15,SPRAYED_B,URBAN,HIGH
1,46,460,26,SPRAYED_B,RURAL,LOW
1,45,450,28,SPRAYED_A,RURAL,MED
1,44,441,18,SPRAYED_B,RURAL,HIGH
1,43,430,25,SPRAYED_A,URBAN,LOW
1,42,420,18,SPRAYED_B,URBAN,LOW
1,41,410,25,NONE,URBAN,MED
1,40,400,19,FENCE_AND_TRAP,RURAL,LOW
1,39,390,22,FENCE_AND_TRAP,URBAN,LOW
1,38,380,20,SPRAYED_A,URBAN,LOW
1,37,370,23,NONE,RURAL,LOW
1,36,360,20,SPRAYED_B,RURAL,LOW
1,35,350,19,SPRAYED_B,URBAN,LOW
1,34,340,16,NONE,RURAL,LOW
1,33,330,17,NONE,URBAN,MED
1,32,320,10,NONE,URBAN,HIGH
1,31,310,14,SPRAYED_A,URBAN,LOW
1,30,300,22,SPRAYED_B,RURAL,LOW
1,29,290,25,FENCE_AND_TRAP,RURAL,LOW
1,28,280,17,SPRAYED_B,URBAN,MED
1,27,270,13,SPRAYED_A,URBAN,MED
1,26,260,13,NONE,RURAL,MED
1,25,250,12,NONE,RURAL,HIGH
1,24,240,16,FENCE_AND_TRAP,RURAL,LOW
1,23,230,11,SPRAYED_A,URBAN,HIGH
1,22,220,19,SPRAYED_B,RURAL,LOW
1,21,210,13,NONE,RURAL,LOW
1,20,200,12,NONE,URBAN,LOW
1,19,190,10,NONE,URBAN,LOW
1,18,180,9,SPRAYED_A,URBAN,LOW
1,17,170,8,NONE,RURAL,LOW
1,16,160,6,SPRAYED_A,RURAL,LOW
1,15,150,10,FENCE_AND_TRAP,RURAL,MED
1,14,140,11,NONE,RURAL,LOW
1,13,130,1,NONE,RURAL,LOW
1,12,120,6,SPRAYED_A,URBAN,LOW
1,11,110,8,NONE,RURAL,MED
1,10,100,4,NONE,RURAL,LOW
1,9,90,4,FENCE_AND_TRAP,RURAL,MED
1,8,80,2,NONE,URBAN,LOW
1,7,70,2,NONE,RURAL,LOW
1,6,60,1,NONE,RURAL,LOW
1,5,50,1,SPRAYED_B,RURAL,MED
1,4,40,4,SPRAYED_B,URBAN,LOW
1,3,30,3,NONE,RURAL,MED
1,2,20,2,SPRAYED_A,RURAL,LOW
1,1,10,1,NONE,RURAL,HIGH
2,100,1000,66,SPRAYED_B,RURAL,LOW
2,99,990,58,NONE,RURAL,MED
2,98,980,68,NONE,RURAL,LOW
2,97,970,61,SPRAYED_B,URBAN,LOW
2,96,960,45,NONE,RURAL,LOW
2,95,950,53,NONE,RURAL,LOW
2,94,941,44,SPRAYED_B,RURAL,LOW
2,93,930,43,NONE,URBAN,LOW
2,92,920,57,SPRAYED_B,URBAN,LOW
2,91,910,46,SPRAYED_B,URBAN,MED
2,90,900,47,NONE,URBAN,LOW
