Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,VectorPopulationNumDied,InfectiousNumDied,InfectedNumDied,AdultNumDied,MaleNumDied,VectorPopulationAvgAgeAtDeath,InfectiousAvgAgeAtDeath,InfectedAvgAgeAtDeath,AdultAvgAgeAtDeath,MaleAvgAgeAtDeath
0,1,X-a0-b0:X-a0-b0,8736,0,0,8736,0,0,0,288000,1264,0,0,1264,0,3.23497,0,0,3.23497,0
0,1,X-a0-b0:Y-a0-b0,0,0,0,0,8897,0,0,288000,0,0,0,0,1103,0,0,0,0,3.01088
0,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,X-a0-b0:X-a0-b0,7539,0,0,7539,0,0,189654,271000,1197,0,0,1197,0,3.96658,0,0,3.96658,0
1,1,X-a0-b0:Y-a0-b0,0,0,0,0,7958,0,189821,271000,0,0,0,0,939,0,0,0,0,4.02343
1,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,X-a0-b0:X-a0-b0,6520,0,0,6520,0,0,254076,247800,1019,0,0,1019,0,4.80765,0,0,4.80765,0
2,1,X-a0-b0:Y-a0-b0,0,0,0,0,7108,0,254855,247800,0,0,0,0,850,0,0,0,0,5.00941
2,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,X-a0-b0:X-a0-b0,5637,0,0,5637,0,0,323472,179300,883,0,0,883,0,6.1778,0,0,6.1778,0
3,1,X-a0-b0:Y-a0-b0,0,0,0,0,6309,0,324025,179300,0,0,0,0,799,0,0,0,0,6.02503
3,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,X-a0-b0:X-a0-b0,4796,0,0,4796,0,0,386300,170900,841,0,0,841,0,6.96552,0,0,6.96552,0
4,1,X-a0-b0:Y-a0-b0,0,0,0,0,5613,0,386711,170900,0,0,0,0,696,0,0,0,0,7.03161
4,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,X-a0-b0:X-a0-b0,4114,0,0,4114,0,0,443488,160900,682,0,0,682,0,7.69941,0,0,7.69941,0
5,1,X-a0-b0:Y-a0-b0,0,0,0,0,4955,0,443199,160900,0,0,0,0,658,0,0,0,0,7.98328
5,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,X-a0-b0:X-a0-b0,3528,0,0,3528,0,0,495092,112300,586,0,0,586,0,9.16553,0,0,9.16553,0
6,1,X-a0-b0:Y-a0-b0,0,0,0,0,4345,0,495619,112300,0,0,0,0,610,0,0,0,0,9.05574
6,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,X-a0-b0:X-a0-b0,2975,0,0,2975,0,0,542566,106800,553,0,0,553,0,9.99458,0,0,9.99458,0
7,1,X-a0-b0:Y-a0-b0,0,0,0,0,3803,0,543239,106800,0,0,0,0,542,0,0,0,0,9.99262
7,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,X-a0-b0:X-a0-b0,2474,0,0,2474,0,0,585967,100200,501,0,0,501,0,10.7824,0,0,10.7824,0
8,1,X-a0-b0:Y-a0-b0,0,0,0,0,3284,0,586689,100200,0,0,0,0,519,0,0,0,0,10.9923
8,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,X-a0-b0:X-a0-b0,2068,0,0,2068,0,0,625879,63000,406,0,0,406,0,12.1355,0,0,12.1355,0
9,1,X-a0-b0:Y-a0-b0,0,0,0,0,2864,0,626333,63000,0,0,0,0,420,0,0,0,0,12.0048
9,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,X-a0-b0:X-a0-b0,1751,0,0,1751,0,0,628923,61900,317,0,0,317,0,13.0568,0,0,13.0568,0
10,1,X-a0-b0:Y-a0-b0,0,0,0,0,2465,0,629673,61900,0,0,0,0,399,0,0,0,0,12.995
10,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,X-a0-b0:X-a0-b0,1410,0,0,1410,0,0,631105,61000,341,0,0,341,0,13.7859,0,0,13.7859,0
11,1,X-a0-b0:Y-a0-b0,0,0,0,0,2089,0,631971,61000,0,0,0,0,376,0,0,0,0,13.9814
11,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,X-a0-b0:X-a0-b0,1191,0,0,1191,0,0,632471,33500,219,0,0,219,0,15.0594,0,0,15.0594,0
12,1,X-a0-b0:Y-a0-b0,0,0,0,0,1782,0,632849,33500,0,0,0,0,307,0,0,0,0,14.9805
12,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,X-a0-b0:X-a0-b0,990,0,0,990,0,0,605813,36000,201,0,0,201,0,15.9602,0,0,15.9602,0
13,1,X-a0-b0:Y-a0-b0,0,0,0,0,1499,0,606507,36000,0,0,0,0,283,0,0,0,0,16.0177
13,1,X-a1-b0:X-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,X-a1-b0:Y-a1-b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,X-a0-b1:X-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,X-a0-b1:Y-a0-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,X-a1-b1:X-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,X-a1-b1:Y-a1-b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,X-a0-b0:X-a0-b0,788,0,0,788,0,0,584503,35300,202,0,0,202,0,16.703,0,0,16.703,0
