Time,NodeID,Genome,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MaleNumDied,MaleAvgAgeAtDeath
12,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
12,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
12,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
12,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
12,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
12,1,Other,1782,0,632849,33500,307,14.9805
13,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
13,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
13,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
13,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
13,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
13,1,Other,1499,0,606507,36000,283,16.0177
14,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
14,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
14,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
14,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
14,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
14,1,Other,1259,0,584504,35300,240,17.0125
15,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
15,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
15,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
15,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
15,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
15,1,Other,1055,0,564110,17700,204,17.951
16,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
16,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
16,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
16,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
16,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
16,1,Other,878,0,527789,17600,177,18.9774
17,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
17,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
17,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
17,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
17,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
17,1,Other,727,0,495009,17000,151,19.9536
18,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
18,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
18,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
18,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
18,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
18,1,Other,596,34693,430196,9500,131,21.0458
19,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
19,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
19,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
19,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
19,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
19,1,Other,481,46617,383645,9000,115,21.9913
20,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
20,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
20,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
20,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
20,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
20,1,Other,397,59318,339030,8100,84,22.9405
21,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
21,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
21,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
21,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
21,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
21,1,Other,312,70401,298116,4300,85,23.8941
22,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
22,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
22,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
22,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
22,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
22,1,Other,23427,57679,256540,3800,56,24.8393
23,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
23,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
23,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
23,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
23,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
23,1,Other,31096,59105,218811,3900,2423,1.38877
24,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
24,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
24,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
24,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
24,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
24,1,Other,39323,59348,184588,2100,3240,1.97716
25,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
25,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
25,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
25,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
25,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
25,1,Other,46731,59549,151990,2000,3974,2.44288
26,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
26,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
26,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
26,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
26,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
26,1,Other,53465,59774,121992,1347500,4798,2.84577
27,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
27,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
27,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
27,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
27,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
27,1,Other,59300,54327,1030116,586100,5547,3.20443
28,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
28,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
28,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
28,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
28,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
28,1,Other,64474,48683,951352,663300,6397,3.62779
29,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
29,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
29,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
29,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
29,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
29,1,Other,69217,43722,966480,1524300,6839,3.96666
30,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
30,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
30,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
30,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
30,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
30,1,Other,73510,34084,976403,1033360,7427,4.38293
31,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
31,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
31,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
31,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
31,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
31,1,Other,73350,29582,981325,1081460,7938,4.71882
32,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
32,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
32,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
32,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
32,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
32,1,Other,72714,25829,986457,1618360,8119,5.27553
33,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
33,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
33,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
33,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
33,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
33,1,Other,72328,18983,994970,1327780,8054,5.7549
34,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
34,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
34,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
34,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
34,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
34,1,Other,68057,16315,997735,1350220,8317,6.17266
35,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
35,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
35,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
35,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
35,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
35,1,Other,64576,13580,1001778,1427000,7746,6.9024
36,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
36,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
36,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
36,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
36,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
36,1,Other,61399,9627,1006084,1261080,7553,7.44314
37,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
37,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
37,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
37,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
37,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
37,1,Other,56351,8141,1008926,1261600,7259,7.97548
38,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
38,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
38,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
38,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
38,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
38,1,Other,51667,6683,1011965,1096200,6847,8.66861
39,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
39,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
39,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
39,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
39,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
39,1,Other,47338,4727,1015076,1001640,6411,9.44127
40,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
40,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
40,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
40,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
40,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
40,1,Other,42615,3844,1017181,1012300,5853,9.89903
41,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
41,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
41,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
41,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
41,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
41,1,Other,38287,3083,1019015,761520,5441,10.6425
42,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
42,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
42,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
42,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
42,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
42,1,Other,34272,2185,1022559,718680,5010,11.1978
43,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
43,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
43,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
43,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
43,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
43,1,Other,30206,1796,1023941,717620,4593,11.8587
44,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
44,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
44,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
44,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
44,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
44,1,Other,26501,171418,856628,501920,4171,12.6632
45,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
45,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
45,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
45,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
45,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
45,1,Other,23237,160287,1037665,473980,3718,13.3128
46,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
46,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
46,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
46,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
46,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
46,1,Other,20215,166086,1006282,478060,3293,14.055
47,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
47,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
47,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
47,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
47,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
47,1,Other,17560,169994,1011729,309320,2920,14.7062
48,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
48,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
48,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
48,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
48,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
48,1,Other,129214,58762,1013040,286980,2643,15.5475
49,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
49,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
49,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
49,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
49,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
49,1,Other,118787,68742,1014051,299000,14080,3.52003
50,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
50,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
50,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
50,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
50,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
50,1,Other,120428,67107,1015209,186600,12798,4.25543
51,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
51,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
51,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
51,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
51,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
51,1,Other,120844,65970,1016926,175360,12957,4.65517
52,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
52,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
52,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
52,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
52,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
52,1,Other,120444,65490,1016810,6769340,13233,5.02116
53,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
53,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
53,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
53,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
53,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
53,1,Other,120187,65190,1017572,317480,13069,5.48496
54,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
54,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
54,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
54,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
54,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
54,1,Other,119967,64256,1019190,912400,13225,5.76295
55,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
55,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
55,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
55,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
55,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
55,1,Other,118675,63981,1020169,5011480,13725,6.17129
56,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
56,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
56,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
56,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
56,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
56,1,Other,117602,63623,1020358,920240,13560,6.52522
57,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
57,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
57,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
57,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
57,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
57,1,Other,116805,62966,1021950,1320500,13475,6.78211
58,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
58,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
58,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
58,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
58,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
58,1,Other,115379,62988,1022131,3795780,13616,7.12566
59,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
59,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
59,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
59,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
59,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
59,1,Other,114070,63085,1021661,1301100,13615,7.41116
60,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
60,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
60,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
60,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
60,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
60,1,Other,112863,63026,1023227,1551460,13442,7.73486
61,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
61,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
61,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
61,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
61,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
61,1,Other,111433,63302,1022777,2972840,13513,7.82957
62,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
62,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
62,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
62,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
62,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
62,1,Other,110147,94170,993169,1518360,13484,8.05347
63,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
63,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
63,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
63,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
63,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
63,1,Other,109390,89025,1029704,1650100,13173,8.3325
64,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
64,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
64,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
64,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
64,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
64,1,Other,108531,90498,1019126,2425960,12985,8.29411
65,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
65,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
65,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
65,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
65,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
65,1,Other,107789,90960,1021817,1624480,13063,8.56036
66,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
66,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
66,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
66,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
66,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
66,1,Other,127529,70750,1021869,1714560,13169,8.68866
67,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
67,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
67,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
67,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
67,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
67,1,Other,123232,74781,1022210,2108960,15174,7.48458
68,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
68,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
68,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
68,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
68,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
68,1,Other,123609,74011,1022531,1680680,14500,7.79483
69,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
69,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
69,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
69,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
69,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
69,1,Other,123326,73819,1021791,1742040,14639,7.91611
70,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
70,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
70,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
70,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
70,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
70,1,Other,122914,73704,1021544,3145780,14759,7.99702
71,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
71,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
71,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
71,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
71,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
71,1,Other,122904,73465,1021828,1649540,14447,8.06943
