Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG
15,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
16,340461476,X-a0:X-a0,872,380,0,492,0,0,0,0
16,340461476,X-a0:Y-a0,0,0,0,0,2724,0,0,0
16,340461476,X-a0:X-a1,0,0,0,0,0,0,33995,0
16,340461476,X-a0:Y-a1,0,0,0,0,0,0,34338,0
16,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
16,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
17,340461476,X-a0:X-a0,698,294,0,404,0,0,0,0
17,340461476,X-a0:Y-a0,0,0,0,0,2441,0,0,0
17,340461476,X-a0:X-a1,0,0,0,0,0,9176,21614,79300
17,340461476,X-a0:Y-a1,0,0,0,0,0,9130,21950,79300
17,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
17,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
18,340461476,X-a0:X-a0,627,270,0,357,0,0,0,0
18,340461476,X-a0:Y-a0,0,0,0,0,2215,0,0,0
18,340461476,X-a0:X-a1,0,0,0,0,0,8295,40379,0
18,340461476,X-a0:Y-a1,0,0,0,0,0,8264,40587,0
18,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
18,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
19,340461476,X-a0:X-a0,556,244,0,312,0,0,0,0
19,340461476,X-a0:Y-a0,0,0,0,0,2034,0,0,0
19,340461476,X-a0:X-a1,0,0,0,0,0,7503,36583,0
19,340461476,X-a0:Y-a1,0,0,0,0,0,7526,36724,0
19,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
19,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
20,340461476,X-a0:X-a0,427,187,0,240,0,0,0,0
20,340461476,X-a0:Y-a0,0,0,0,0,1837,0,0,0
20,340461476,X-a0:X-a1,0,0,0,0,0,10428,29456,50600
20,340461476,X-a0:Y-a1,0,0,0,0,0,10469,29619,50600
20,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
20,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
21,340461476,X-a0:X-a0,383,167,0,216,0,0,0,0
21,340461476,X-a0:Y-a0,0,0,0,0,1656,0,0,0
21,340461476,X-a0:X-a1,6145,0,0,6145,0,3273,40932,0
21,340461476,X-a0:Y-a1,0,0,0,0,6134,3348,41065,0
21,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
21,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
22,340461476,X-a0:X-a0,348,152,0,196,0,0,0,0
22,340461476,X-a0:Y-a0,0,0,0,0,1476,0,0,0
22,340461476,X-a0:X-a1,4978,0,0,4978,0,2978,36924,0
22,340461476,X-a0:Y-a1,0,0,0,0,5573,3026,37173,0
22,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
22,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
23,340461476,X-a0:X-a0,278,112,0,166,0,0,0,0
23,340461476,X-a0:Y-a0,0,0,0,0,1313,0,0,0
23,340461476,X-a0:X-a1,4462,0,0,4462,0,6773,29365,31500
23,340461476,X-a0:Y-a1,0,0,0,0,5037,6860,29589,31500
23,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
23,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
24,340461476,X-a0:X-a0,257,103,0,154,0,0,0,0
24,340461476,X-a0:Y-a0,0,0,0,0,1164,0,0,0
24,340461476,X-a0:X-a1,6481,0,0,6481,0,3679,41874,0
24,340461476,X-a0:Y-a1,0,0,0,0,7023,3736,42171,0
24,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
24,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
25,340461476,X-a0:X-a0,230,92,0,138,0,0,0,110325
25,340461476,X-a0:Y-a0,0,0,0,0,1056,0,0,110325
25,340461476,X-a0:X-a1,5230,0,0,5230,0,3333,37908,182300
25,340461476,X-a0:Y-a1,0,0,0,0,6349,3383,38079,182300
25,340461476,X-a1:X-a1,0,0,0,0,0,0,0,71975
25,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,71975
26,340461476,X-a0:X-a0,183,74,4,105,0,0,2156,0
26,340461476,X-a0:Y-a0,0,0,0,0,949,0,2128,0
26,340461476,X-a0:X-a1,4720,0,0,4720,0,6822,34231,20300
26,340461476,X-a0:Y-a1,0,0,0,0,5748,6889,34224,20300
26,340461476,X-a1:X-a1,0,0,0,0,0,0,1421,0
26,340461476,X-a1:Y-a1,0,0,0,0,0,0,1426,0
27,340461476,X-a0:X-a0,160,63,4,93,0,0,1937,0
27,340461476,X-a0:Y-a0,0,0,0,0,852,0,1953,0
27,340461476,X-a0:X-a1,7011,0,0,7011,0,3470,38669,0
27,340461476,X-a0:Y-a1,0,0,0,0,7939,3503,38648,0
27,340461476,X-a1:X-a1,0,0,0,0,0,0,1297,0
27,340461476,X-a1:Y-a1,0,0,0,0,0,0,1281,0
28,340461476,X-a0:X-a0,141,55,4,82,0,0,1770,114450
28,340461476,X-a0:Y-a0,0,0,0,0,764,0,1774,114450
28,340461476,X-a0:X-a1,5737,0,204,5533,0,3139,35002,193250
28,340461476,X-a0:Y-a1,0,0,0,0,7177,3165,34879,193250
28,340461476,X-a1:X-a1,0,0,0,0,0,0,1177,78800
28,340461476,X-a1:Y-a1,0,0,0,0,0,0,1148,78800
29,340461476,X-a0:X-a0,111,45,3,63,0,0,3926,0
29,340461476,X-a0:Y-a0,0,0,0,0,704,0,3932,0
29,340461476,X-a0:X-a1,5161,0,179,4982,0,9820,28625,12760
29,340461476,X-a0:Y-a1,0,0,0,0,6474,9770,28470,12760
