Time,ID,FromNodeID,ToNodeID,State,Species,Age,Population
365,4480138,25,24,STATE_MALE,arabiensis,0,10
365,4480164,25,20,STATE_MALE,arabiensis,0,6
365,4480190,25,19,STATE_MALE,arabiensis,0,10
365,4480216,25,24,STATE_MALE,arabiensis,1,5
365,4480242,25,20,STATE_MALE,arabiensis,1,9
365,4480268,25,19,STATE_MALE,arabiensis,1,4
365,4480294,25,24,STATE_MALE,arabiensis,2,11
365,4480320,25,20,STATE_MALE,arabiensis,2,6
365,4480346,25,19,STATE_MALE,arabiensis,2,6
365,4480372,25,24,STATE_MALE,arabiensis,3,3
365,4480398,25,20,STATE_MALE,arabiensis,3,4
365,4480424,25,19,STATE_MALE,arabiensis,3,4
365,4480450,25,24,STATE_MALE,arabiensis,4,4
365,4480476,25,20,STATE_MALE,arabiensis,4,2
365,4480502,25,19,STATE_MALE,arabiensis,4,3
365,4480528,25,24,STATE_MALE,arabiensis,5,5
365,4480554,25,20,STATE_MALE,arabiensis,5,2
365,4480580,25,19,STATE_MALE,arabiensis,5,4
365,4480632,25,20,STATE_MALE,arabiensis,6,1
365,4480658,25,19,STATE_MALE,arabiensis,6,5
365,4480684,25,24,STATE_MALE,arabiensis,7,5
365,4480710,25,20,STATE_MALE,arabiensis,7,3
365,4480736,25,19,STATE_MALE,arabiensis,7,6
365,4480762,25,24,STATE_MALE,arabiensis,8,2
365,4480788,25,20,STATE_MALE,arabiensis,8,3
365,4480814,25,19,STATE_MALE,arabiensis,8,6
365,4480840,25,24,STATE_MALE,arabiensis,9,3
365,4480866,25,20,STATE_MALE,arabiensis,9,1
365,4480892,25,19,STATE_MALE,arabiensis,9,1
365,4480918,25,24,STATE_MALE,arabiensis,10,2
365,4480944,25,20,STATE_MALE,arabiensis,10,2
365,4480996,25,24,STATE_MALE,arabiensis,11,1
365,4481048,25,19,STATE_MALE,arabiensis,11,4
365,4481074,25,24,STATE_MALE,arabiensis,12,1
365,4481100,25,20,STATE_MALE,arabiensis,12,3
365,4481126,25,19,STATE_MALE,arabiensis,12,1
365,4481204,25,19,STATE_MALE,arabiensis,13,1
365,4481256,25,20,STATE_MALE,arabiensis,14,1
365,4481282,25,19,STATE_MALE,arabiensis,14,1
365,4481490,25,20,STATE_MALE,arabiensis,17,2
365,4481698,25,24,STATE_MALE,arabiensis,20,1
365,4481724,25,20,STATE_MALE,arabiensis,20,1
365,4481750,25,19,STATE_MALE,arabiensis,20,2
365,4481802,25,20,STATE_MALE,arabiensis,21,1
365,4481932,25,24,STATE_MALE,arabiensis,23,1
365,4482010,25,24,STATE_MALE,arabiensis,24,1
365,4482452,25,19,STATE_MALE,arabiensis,31,1
365,4482764,25,19,STATE_MALE,arabiensis,41,1
365,5796283,25,20,STATE_ADULT,arabiensis,4,1
365,5814197,25,24,STATE_ADULT,arabiensis,3,1
365,5851585,25,20,STATE_ADULT,arabiensis,1,1
365,5571903,25,24,STATE_ADULT,arabiensis,16,1
365,4107974,25,20,STATE_INFECTIOUS,arabiensis,26,1
365,4394702,25,19,STATE_ADULT,arabiensis,6,1
365,5720597,25,19,STATE_ADULT,arabiensis,8,1
365,5625879,25,24,STATE_ADULT,arabiensis,13,1
