Time, ID, FromNodeID, ToNodeID, MigrationType, Species, Age
366,0,24,25,local,arabiensis,4
366,0,24,23,local,arabiensis,18
366,0,24,23,local,arabiensis,7
366,0,24,20,local,arabiensis,5
366,0,24,23,local,arabiensis,8
366,0,24,20,local,arabiensis,13
366,0,24,18,local,arabiensis,17
366,0,24,18,local,arabiensis,1
366,0,24,25,local,arabiensis,13
366,0,24,25,local,arabiensis,18
366,0,24,20,local,arabiensis,9
366,0,24,25,local,arabiensis,6
366,0,24,23,local,arabiensis,4
366,0,24,19,local,arabiensis,8
366,0,24,23,local,arabiensis,2
366,0,24,19,local,arabiensis,5
366,0,24,25,local,arabiensis,6
366,0,24,23,local,arabiensis,1
