Year, NodeID, IndividualID, Gender, AgeYears, IndividualProperties,NumRels_Last6Months_TRANSITORY,NumRels_Last6Months_INFORMAL,NumRels_Last6Months_MARITAL,NumRels_Last6Months_COMMERCIAL,NumRels_Active_TRANSITORY,NumRels_Active_INFORMAL,NumRels_Active_MARITAL,NumRels_Active_COMMERCIAL,NumRels_Last12Months_TRANSITORY,NumRels_Last12Months_INFORMAL,NumRels_Last12Months_MARITAL,NumRels_Last12Months_COMMERCIAL,NumUniquePartners_Last-3-Months_TRANSITORY,NumUniquePartners_Last-3-Months_INFORMAL,NumUniquePartners_Last-3-Months_MARITAL,NumUniquePartners_Last-3-Months_COMMERCIAL,NumUniquePartners_Last-6-Months_TRANSITORY,NumUniquePartners_Last-6-Months_INFORMAL,NumUniquePartners_Last-6-Months_MARITAL,NumUniquePartners_Last-6-Months_COMMERCIAL,NumUniquePartners_Last-9-Months_TRANSITORY,NumUniquePartners_Last-9-Months_INFORMAL,NumUniquePartners_Last-9-Months_MARITAL,NumUniquePartners_Last-9-Months_COMMERCIAL,NumUniquePartners_Last-12-Months_TRANSITORY,NumUniquePartners_Last-12-Months_INFORMAL,NumUniquePartners_Last-12-Months_MARITAL,NumUniquePartners_Last-12-Months_COMMERCIAL
1962,1,33,F,31.302,Risk:LOW,0,0,17,0,0,0,0,0,0,0,34,0,0,0,8,0,0,0,18,0,0,0,25,0,0,0,33,0
1962,1,34,M,43.65,Risk:LOW,0,0,26,0,0,0,0,0,0,0,58,0,0,0,7,0,0,0,23,0,0,0,34,0,0,0,49,0
1962,1,35,F,39.575,Risk:LOW,0,0,29,0,0,0,1,0,0,0,52,0,0,0,18,0,0,0,29,0,0,0,42,0,0,0,49,0
1962,1,36,F,53.7456,Risk:LOW,0,0,9,0,0,0,0,0,0,0,24,0,0,0,7,0,0,0,10,0,0,0,18,0,0,0,24,0
1962,1,37,F,25.0975,Risk:LOW,0,0,11,0,0,0,0,0,0,0,15,0,0,0,6,0,0,0,11,0,0,0,14,0,0,0,15,0
1962,1,38,M,6.27945,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,39,F,38.937,Risk:LOW,0,0,27,0,0,0,0,0,0,0,69,0,0,0,11,0,0,0,25,0,0,0,42,0,0,0,57,0
1962,1,40,M,31.0802,Risk:LOW,0,0,7,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,7,0,0,0,12,0,0,0,16,0
1962,1,41,M,38.1525,Risk:LOW,0,0,14,0,0,0,1,0,0,0,28,0,0,0,8,0,0,0,14,0,0,0,23,0,0,0,27,0
1962,1,42,F,35.6034,Risk:LOW,0,0,25,0,0,0,0,0,0,0,55,0,0,0,10,0,0,0,24,0,0,0,34,0,0,0,48,0
