Time,NodeID,IndividualID,Gender,AgeYears,InfectionID,Infectiousness,Duration,IRBCs
110,340461476,4,F,1.79011,1,0,11,7391860
110,340461476,20,F,9.47392,2,0,11,7416090
110,340461476,21,M,12.893,3,0,11,7418320
110,340461476,42,F,32.6181,4,0,11,7425365
110,340461476,48,M,68.6185,5,0,11,7425365
110,340461476,51,F,11.0666,6,0,11,7417325
110,340461476,64,F,38.9235,7,0,11,7425365
110,340461476,65,M,21.5201,8,0,11,7425365
110,340461476,79,F,45.1721,9,0,11,7425365
110,340461476,80,F,25.1868,10,0,11,7425365
110,340461476,81,F,2.6196,11,0,11,7399200
110,340461476,85,M,25.2556,12,0,11,7425365
110,340461476,95,M,44.1198,13,0,11,7425365
110,340461476,97,M,40.5019,14,0,11,7425365
110,340461476,100,M,90.0638,15,0,11,7425365
140,340461476,4,F,1.87231,1,1,41,13778592
140,340461476,20,F,9.55611,2,1,41,76925335
140,340461476,21,M,12.9752,3,1,41,77218991
140,340461476,42,F,32.7003,4,1,41,146006611
140,340461476,48,M,68.7007,5,1,41,189031192
140,340461476,51,F,11.1488,6,1,41,92182512
140,340461476,64,F,39.0057,7,1,41,173649280
140,340461476,65,M,21.6023,8,1,41,168850452
140,340461476,79,F,45.2543,9,1,41,189049157
140,340461476,80,F,25.269,10,1,41,189024242
140,340461476,81,F,2.70179,11,1,41,18831624
140,340461476,85,M,25.3378,12,1,41,173616642
140,340461476,95,M,44.202,13,1,41,145964014
140,340461476,97,M,40.5841,14,1,41,204477236
140,340461476,100,M,90.146,15,1,41,173519701
170,340461476,2,M,2.68203,51,0.000160062,22,28312933349
170,340461476,2,M,2.68203,70,0.000160062,21,107057594295
170,340461476,2,M,2.68203,85,0.000160062,20,18767859420
170,340461476,2,M,2.68203,150,0.000160062,17,14043945355
170,340461476,2,M,2.68203,188,0.000160062,16,321820190
170,340461476,2,M,2.68203,241,0.000160062,14,182872355
170,340461476,2,M,2.68203,267,0.000160062,13,68765035
170,340461476,2,M,2.68203,386,0.000160062,9,1370596
170,340461476,2,M,2.68203,404,0.000160062,8,51126
170,340461476,3,F,21.983,71,0,21,657903581582
170,340461476,3,F,21.983,107,0,19,106892918452
170,340461476,3,F,21.983,151,0,17,16478516560
170,340461476,3,F,21.983,189,0,16,1583303772
170,340461476,3,F,21.983,242,0,14,272356265
170,340461476,3,F,21.983,268,0,13,237873940
170,340461476,3,F,21.983,326,0,11,30521839
170,340461476,3,F,21.983,387,0,9,173034
170,340461476,3,F,21.983,405,0,8,52352
170,340461476,4,F,1.9545,86,0.000286798,20,27171765699
170,340461476,4,F,1.9545,152,0.000286798,17,20033980506
170,340461476,4,F,1.9545,190,0.000286798,16,1501734472
170,340461476,4,F,1.9545,212,0.000286798,15,7908966140
170,340461476,4,F,1.9545,243,0.000286798,14,91042187
170,340461476,4,F,1.9545,269,0.000286798,13,181170729
170,340461476,4,F,1.9545,292,0.000286798,12,2923432
170,340461476,4,F,1.9545,327,0.000286798,11,8287969
170,340461476,4,F,1.9545,359,0.000286798,10,448923
170,340461476,5,M,4.38226,24,0.000342464,24,36892014500
170,340461476,5,M,4.38226,108,0.000342464,19,43095025136
170,340461476,5,M,4.38226,126,0.000342464,18,7564529137
170,340461476,5,M,4.38226,153,0.000342464,17,35339374413
170,340461476,5,M,4.38226,213,0.000342464,15,1198237219
170,340461476,5,M,4.38226,328,0.000342464,11,4283764
170,340461476,5,M,4.38226,360,0.000342464,10,298275
170,340461476,5,M,4.38226,388,0.000342464,9,171470
170,340461476,5,M,4.38226,424,0.000342464,7,43732
170,340461476,7,M,5.66082,16,0.000688226,25,86142625324
170,340461476,7,M,5.66082,87,0.000688226,20,42682372401
170,340461476,7,M,5.66082,109,0.000688226,19,67166522146
170,340461476,7,M,5.66082,154,0.000688226,17,6646307789
170,340461476,7,M,5.66082,244,0.000688226,14,59935012
170,340461476,7,M,5.66082,293,0.000688226,12,5577752
170,340461476,7,M,5.66082,329,0.000688226,11,3955325
170,340461476,7,M,5.66082,406,0.000688226,8,22663
170,340461476,8,M,44.5865,33,2.68889e-05,23,696398259521
170,340461476,8,M,44.5865,155,2.68889e-05,17,88728137379
170,340461476,8,M,44.5865,270,2.68889e-05,13,422900722
170,340461476,8,M,44.5865,294,2.68889e-05,12,8979248
170,340461476,8,M,44.5865,330,2.68889e-05,11,5047821
170,340461476,8,M,44.5865,361,2.68889e-05,10,634566
170,340461476,8,M,44.5865,407,2.68889e-05,8,80958
170,340461476,11,F,17.9372,17,0.00100458,25,335451329314
170,340461476,11,F,17.9372,25,0.00100458,24,105281508609
170,340461476,11,F,17.9372,127,0.00100458,18,11436751584
170,340461476,11,F,17.9372,156,0.00100458,17,12064306920
170,340461476,11,F,17.9372,295,0.00100458,12,13511066
170,340461476,11,F,17.9372,408,0.00100458,8,77387
170,340461476,13,M,14.4617,26,0.00110362,24,74038158888
170,340461476,13,M,14.4617,34,0.00110362,23,373714512323
170,340461476,13,M,14.4617,128,0.00110362,18,10213557956
170,340461476,13,M,14.4617,157,0.00110362,17,6893778087
170,340461476,13,M,14.4617,191,0.00110362,16,731864017
170,340461476,13,M,14.4617,214,0.00110362,15,1028034420
170,340461476,13,M,14.4617,245,0.00110362,14,23107813
170,340461476,13,M,14.4617,296,0.00110362,12,3812368
170,340461476,13,M,14.4617,331,0.00110362,11,5913169
170,340461476,13,M,14.4617,362,0.00110362,10,1375755
170,340461476,16,M,27.7578,35,3.95792e-05,23,510926392070
170,340461476,16,M,27.7578,88,3.95792e-05,20,98565505136
170,340461476,16,M,27.7578,129,3.95792e-05,18,14848876870
170,340461476,16,M,27.7578,192,3.95792e-05,16,1378791189
170,340461476,16,M,27.7578,297,3.95792e-05,12,3617952
