Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever HIVPos, Tested Ever HIVNeg, Tested Positive, Tested Negative, HasIntervention(MC_1),VMMC_1
1960.5,1,0,0,0,165,0,0,0,7,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,132,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,2,147,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,3,142,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,4,142,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,5,106,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,6,108,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,7,112,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,8,111,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,9,113,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,10,114,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,11,82,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,12,93,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,13,93,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,14,94,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,15,93,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,16,82,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,17,89,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,18,72,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,19,90,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,20,77,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,21,76,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,22,65,0,0,0,0,0,0,0,0,0,0,0,0
