Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine48),Vaccinated
1960.5,1,0,0,0,323,0,0,0,13,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,261,0,0,0,3,0,0,0,0,0,0,0,0
1960.5,1,0,0,2,270,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,3,264,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,4,262,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,5,252,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,6,201,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,7,230,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,8,225,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,9,214,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,10,208,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,11,205,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,12,194,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,13,176,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,14,193,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,15,152,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,16,161,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,17,175,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,18,164,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,19,193,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,20,172,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,21,139,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,22,141,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,23,132,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,24,129,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,25,113,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,26,135,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,27,135,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,28,132,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,29,120,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,30,107,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,31,111,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,32,103,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,33,108,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,34,110,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,35,97,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,36,89,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,37,89,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,38,81,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,39,87,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,40,106,0,0,0,1,0,0,0,0,0,0,0,0
