Time,NodeID,NumIndividuals,NumInfected,AvgInfectiousness,AvgParasiteDensity,AvgGametocyteDensity,AvgVariantFractionPfEMP1Major,AvgNumInfections,AvgInfectionClearedDuration,NumInfectionsCleared,NumHasFever,NumHasClinicalSymptoms
0,2,100,0,0,0,0,0,0,0,0,0,0
0,1,100,0,0,0,0,0,0,0,0,0,0
1,2,100,100,0,0,0,0,1,0,0,0,0
1,1,100,100,0,0,0,0,1,0,0,0,0
2,2,100,100,0,0,0,0,1,0,0,0,0
2,1,100,100,0,0,0,0,1,0,0,0,0
3,2,100,100,0,0,0,0,1,0,0,0,0
3,1,100,100,0,0,0,0,1,0,0,0,0
4,2,100,100,0,0,0,0,1,0,0,0,0
4,1,100,100,0,0,0,0,1,0,0,0,0
5,2,100,100,0,0,0,0,1,0,0,0,0
5,1,100,100,0,0,0,0,1,0,0,0,0
6,2,100,100,0,0,0,0,1,0,0,0,0
6,1,100,100,0,0,0,0,1,0,0,0,0
7,2,100,100,0,0.0144103,0,0.005,1,0,0,0,0
7,1,100,100,0,0.0140902,0,0.005,1,0,0,0,0
8,2,100,100,0,0.0144034,0,0.005,1,0,0,0,0
8,1,100,100,0,0.0140838,0,0.005,1,0,0,0,0
9,2,100,100,0,0.22875,0,0.005,1,0,0,0,0
9,1,100,100,0,0.223679,0,0.005,1,0,0,0,0
10,2,100,100,0,0.228641,0,0.005,1,0,0,0,0
10,1,100,100,0,0.223578,0,0.005,1,0,0,0,0
11,2,100,100,0,3.55846,0,0.005,1,0,0,0,0
11,1,100,100,0,3.47976,0,0.005,1,0,0,0,0
12,2,100,100,0,3.55677,0,0.005,1,0,0,0,0
12,1,100,100,0,3.47818,0,0.005,1,0,0,0,0
13,2,100,100,0,55.3539,0,0.005,1,0,0,0,0
13,1,100,100,0,54.1325,0,0.005,1,0,0,0,0
14,2,100,100,0,55.3277,0,0.005,1,0,0,0,0
14,1,100,100,0,54.108,0,0.005,1,0,0,0,0
15,2,100,100,0,861.033,0,0.005,1,0,0,25,25
15,1,100,100,0,842.08,0,0.005,1,0,0,25,25
16,2,100,100,0,827.284,0,0.005,1,0,0,71,71
16,1,100,100,0,810.479,0,0.005,1,0,0,63,63
17,2,100,100,0,11501.4,0,0.005,1,0,0,100,100
17,1,100,100,0,11352.9,0,0.005,1,0,0,100,100
18,2,100,100,0,7455.99,0,0.005,1,0,0,100,100
18,1,100,100,0,7389.01,0,0.005,1,0,0,100,100
19,2,100,100,0,59442.6,0,0.005,1,0,0,100,100
19,1,100,100,0,58995.9,0,0.005,1,0,0,100,100
20,2,100,100,0,26179.8,0,0.005,1,0,0,44,100
20,1,100,100,0,26020.3,0,0.005,1,0,0,45,100
21,2,100,100,0,155135,0,0.005,1,0,0,100,100
21,1,100,100,0,154638,0,0.005,1,0,0,100,100
22,2,100,100,5.83749e-05,44739,0.0722426,0.005,1,0,0,0,100
22,1,100,100,5.70943e-05,44677.3,0.0706605,0.005,1,0,0,0,100
23,2,100,100,0.000303756,178972,0.0547313,0.005,1,0,0,100,100
23,1,100,100,0.000297219,178939,0.0535492,0.005,1,0,0,100,100
24,2,100,100,0.000942276,39834.1,1.1653,0.005,1,0,0,0,100
24,1,100,100,0.000921608,39867,1.13984,0.005,1,0,0,0,100
25,2,100,100,0.00488724,130174,0.882925,0.005,1,0,0,100,100
25,1,100,100,0.00478087,130406,0.863688,0.005,1,0,0,100,100
26,2,100,100,0.0149598,23743.9,18.1503,0.005,1,0,0,0,100
26,1,100,100,0.0146312,23810.1,17.7549,0.005,1,0,0,0,100
27,2,100,100,0.0732778,64348.3,13.7525,0.005,1,0,0,100,100
27,1,100,100,0.0718043,64580.5,13.4533,0.005,1,0,0,100,100
28,2,100,100,0.195845,10247.8,249.954,0.005,1,0,0,0,100
28,1,100,100,0.193366,10290.3,246.098,0.005,1,0,0,0,100
29,2,100,100,0.604722,25066.1,189.398,0.005,1,0,0,100,100
29,1,100,100,0.601762,25181.8,186.48,0.005,1,0,0,100,100
30,2,100,100,0.767335,3756.92,1463.7,0.005,1,0,0,0,100
30,1,100,100,0.765078,3774.94,1451.14,0.005,1,0,0,0,100
31,2,100,100,0.99679,8718.57,1109.17,0.005,1,0,0,100,100
31,1,100,100,0.996618,8762.85,1099.67,0.005,1,0,0,100,100
32,2,100,100,0.998356,1283.24,4446.9,0.005,1,0,0,0,100
32,1,100,100,0.998262,1289.93,4428.21,0.005,1,0,0,0,100
33,2,100,100,1,2899.36,3369.99,0.005,1,0,0,0,92
33,1,100,100,1,2915.01,3355.88,0.005,1,0,0,0,93
34,2,100,100,1,420.72,6895.74,0.005,1,0,0,0,72
34,1,100,100,1,423.032,6884.48,0.005,1,0,0,0,68
35,2,100,100,1,937.794,5225.97,0.005,1,0,0,0,0
35,1,100,100,1,943.07,5217.51,0.005,1,0,0,0,0
36,2,100,100,1,134.76,7198.57,0.005,1,0,0,0,0
36,1,100,100,1,135.525,7198.09,0.005,1,0,0,0,0
37,2,100,100,1,298.345,5455.58,0.005,1,0,0,0,0
